CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,
Afghanistan,AFG,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
United Arab Emirates,ARE,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Argentina,ARG,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Armenia,ARM,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Australia,AUS,20200101,0,,,0,,,0,,,0,,,1,0,"Targeted at Australians in China, or travelling in virus-affected regions.",0,,,0,,,,1,,,,,,0,0,7,"	"
Austria,AUT,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,Austria's interest rate is set by the ECB as a EURO country.,0,,0,,0,0,0,"	"
Azerbaijan,AZE,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belgium,BEL,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,"Belgium's interest rate is set by the ECB, as Belgium uses the EURO",0,,0,,0,0,0,"	"
Bulgaria,BGR,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,Bulgaria's interest rate was at 0% before the crisis started,0,,0,,,,0,"	"
Bahrain,BHR,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belarus,BLR,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Belize,BLZ,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,"Note: 'In Belize, the Interbank Rate is the rate of interest charged on short-term loans made between banks. The Central Bank of Belize does not control the monetary system by monitoring interest rates. Instead, it is responsible for maintaining a stable exchange rate. Since May of 1976, Belize has maintained a fixed exchange rate of BZD 2.00 to USD 1.00.' https://tradingeconomics.com/belize/interest-rate",0,,0,,,,0,"	"
Bermuda,BMU,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Bolivia,BOL,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,0,"	"
Brazil,BRA,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Barbados,BRB,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
Botswana,BWA,20200101,,,,0,,,0,,,0,,"No closures reported, but ",1,1,"Public notified online, travellers posters and a a health alert on 02/12/19",0,,,1,Self referral screening from December,0,,5,https://tradingeconomics.com/botswana/interest-rate,0,,0,,,,19,"	"
Canada,CAN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,1,,,,0,,0,0,0,"	"
Switzerland,CHE,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Chile,CHL,20200101,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,0,,0,,,,,,,,,,0,"	"
China,CHN,20200101,0,0,,0,0,,0,0,,0,0,,0,0,report of uncertern virus in Wuhan http://m.news.cctv.com/2019/12/31/ARTIsg2QlHWoHQixNnJMlIHb191231.shtml,0,0,,0,,,,,,,,,,27,0,0,"	"
Colombia,COL,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,,,0,"	"
Costa Rica,CRI,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,,,,,,,,,0,"	"
Czech Republic,CZE,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,2,,0,,0,,0,0,0,"	"
Germany,DEU,20200101,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Denmark,DNK,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Dominican Republic,DOM,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Algeria,DZA,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Ecuador,ECU,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,"	"
Egypt,EGY,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Spain,ESP,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Estonia,EST,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Finland,FIN,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
France,FRA,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
United Kingdom,GBR,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,,1,https://www.bankofengland.co.uk/boeapps/database/Bank-Rate.asp,,,,,0,0,0,"	"
Georgia,GEO,20200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"	"
Greece,GRC,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,0,,0,0,0,"	"
Guatemala,GTM,20200101,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,0,"	"
