time,lnconfirmedcasesArgentina,lnconfirmedcasesAustralia,lnconfirmedcasesAustria,lnconfirmedcasesBelgium,lnconfirmedcasesBrazil,lnconfirmedcasesBulgaria,lnconfirmedcasesCanada,lnconfirmedcasesChina,lnconfirmedcasesColombia,lnconfirmedcasesCzechRepublic,lnconfirmedcasesDenmark,lnconfirmedcasesEgypt,lnconfirmedcasesFinland,lnconfirmedcasesFrance,lnconfirmedcasesGermany,lnconfirmedcasesGreece,lnconfirmedcasesHongKong,lnconfirmedcasesIndia,lnconfirmedcasesIndonesia,lnconfirmedcasesIran,lnconfirmedcasesIreland,lnconfirmedcasesIsrael,lnconfirmedcasesItaly,lnconfirmedcasesJapan,lnconfirmedcasesMalaysia,lnconfirmedcasesMexico,lnconfirmedcasesNetherlands,lnconfirmedcasesPakistan,lnconfirmedcasesRomania,lnconfirmedcasesRussia,lnconfirmedcasesSaudiArabia,lnconfirmedcasesSingapore,lnconfirmedcasesSouthAfrica,lnconfirmedcasesSouthKorea,lnconfirmedcasesSpain,lnconfirmedcasesSweden,lnconfirmedcasesSwitzerland,lnconfirmedcasesTaiwan,lnconfirmedcasesThailand,lnconfirmedcasesTurkey,lnconfirmedcasesUSA,lnconfirmedcasesUnitedKingdom
0,4.85203,4.672829,4.663439,4.691348,5.01728,4.844187,4.727388,6.095825,4.624973,5.241747,5.568345,4.691348,5.043425,4.60517,4.867535,5.247024,4.60517,4.624973,4.762174,4.934474,4.859812,4.882802,5.043425,4.65396,4.762174,4.770685,4.85203,4.912655,4.812184,4.736198,4.634729,4.624973,4.75359,4.644391,4.787492,4.61512,4.736198,4.60517,4.736198,5.257495,4.61512,4.744932
1,5.062595,5.298317,4.890349,5.129899,5.01728,5.09375,4.75359,6.098074,4.85203,5.53339,6.426488,4.70048,5.043425,4.867535,5.068904,5.247024,4.60517,4.727388,4.89784,5.501258,4.859812,4.882802,6.124683,4.804021,4.859812,5.099866,5.236442,5.463832,4.875197,4.990433,4.634729,4.663439,5.010635,5.31812,5.105946,5.081404,5.365976,4.682131,4.990433,5.883322,4.663439,5.09375
2,5.583496,5.298317,5.214936,5.298317,5.087596,5.231109,5.147494,6.318968,5.278115,5.697093,6.426488,5.010635,5.043425,5.252274,5.278115,5.247024,4.65396,4.779123,5.147494,5.961005,5.129899,4.882802,6.466145,4.990433,5.283204,5.313206,5.57973,5.700444,5.062595,5.293305,4.770685,4.682131,5.308268,6.070738,5.402678,5.313206,5.590987,4.905275,5.17615,6.507277,4.718499,5.327876
3,5.583496,5.298317,5.717028,5.476463,5.298317,5.303305,5.147494,6.656726,5.442418,5.981414,6.426488,5.278115,5.416101,5.31812,5.568345,5.429346,4.65396,4.955827,5.42495,6.385194,5.407172,5.267858,6.747587,5.068904,5.283204,5.525453,5.771441,6.118097,5.214936,5.53339,5.141664,4.70048,5.480639,6.400258,6.206576,5.513429,5.820083,5.030438,5.356586,7.119636,4.85203,5.609472
4,5.958425,5.521461,5.717028,5.587249,5.771441,5.384495,5.192957,7.097549,5.624018,6.139884,6.728629,5.278115,5.497168,5.652489,6.177944,5.802118,4.672829,5.049856,5.739793,6.885509,5.676754,5.529429,7.173958,5.135798,5.283204,5.755742,5.945421,6.216606,5.560682,5.723585,5.141664,4.70048,5.613128,6.725034,6.639876,5.872118,5.924256,5.129899,5.605802,7.332369,4.983607,5.771441
5,5.958425,5.693732,5.717028,6.326149,5.918894,5.488938,5.459586,7.470794,5.934894,6.542472,6.774224,5.545177,5.624018,5.932245,6.507277,5.802118,4.682131,5.267858,5.910797,7.313887,6.322565,5.545177,7.482119,5.241747,5.47227,5.905362,6.689599,6.593045,5.624018,5.905362,5.613128,4.762174,5.996452,6.884487,6.76273,6.395262,6.196444,5.273,5.774551,7.534763,5.123964,5.945421
6,6.2186,5.932245,6.487684,6.326149,6.431331,5.575949,5.666427,8.290293,6.152733,6.725034,6.837333,5.652489,5.771441,6.481577,6.683361,5.958425,4.736198,5.497168,6.109248,7.756196,6.526495,5.823046,7.712444,5.365976,6.059123,6.003887,6.689599,6.654152,5.7301,6.082219,5.840641,4.867535,6.317165,7.13966,6.945051,6.395262,7.037906,5.370638,6.018593,7.79688,5.153292,6.685861
7,6.378426,6.113682,6.759255,6.326149,6.675823,5.680172,6.113682,8.343792,6.196444,6.902743,6.931472,5.68358,5.817111,6.855409,6.946976,6.035481,4.744932,5.799093,6.242223,7.980023,6.665684,6.073044,8.126518,5.429346,6.338594,6.163315,6.689599,6.774224,5.905362,6.204558,5.971262,4.927254,6.563856,7.476472,7.63627,6.395262,7.037906,5.459586,6.395262,8.196712,5.198497,6.685861
8,6.536692,6.342122,6.927558,6.535241,6.928538,5.802118,6.244167,8.648923,6.289716,7.021084,7.01661,5.78996,5.991465,7.026427,7.069874,6.035481,4.787492,5.981414,6.361302,8.164226,6.809039,6.519147,8.31189,5.484797,6.511745,6.371612,6.865891,6.879356,6.070738,6.489205,6.23637,5.010635,6.831954,7.756623,8.106816,6.867974,7.037906,5.529429,6.580639,8.64787,7.038784,6.685861
9,6.613384,6.523562,7.195937,6.786717,7.343426,5.846439,6.542472,8.829226,6.410175,7.119636,7.110696,5.902633,6.109248,7.097549,7.284135,6.204558,4.787492,6.212606,6.530878,8.465268,7.025538,6.559615,8.517993,5.545177,6.672033,6.575076,7.034388,6.968851,6.356108,6.733402,6.331502,5.010635,7.064759,8.055158,8.39841,6.929517,7.214504,5.587249,6.717805,8.909506,7.057898,7.041412
